NDVI,NDRE,Label
0.28690147,0.18168604,1
0.23332018,0.16220239,1
0.2374582,0.13323124,1
0.2674832,0.17251462,1
0.25382036,0.16562717,1
0.24336283,0.166782,1
0.23550466,0.17655079,1
0.24249423,0.1438696,1
0.28077233,0.14614831,1
0.26284876,0.18375774,1
0.24963072,0.18695195,1
0.2413793,0.14370151,1
0.23428571,0.13173653,1
0.22842231,0.13754646,1
0.20175439,0.13771626,1
0.24434389,0.13950276,1
0.24273255,0.15267947,1
0.2383041,0.1480854,1
0.2293578,0.16133334,1
0.21293043,0.15683647,1
0.20943531,0.13101605,1
0.21035169,0.16773367,1
0.21895006,0.12363529,1
0.19406529,0.1507006,1
0.2090909,0.17439294,1
0.22303921,0.14318442,1
0.27449617,0.18437198,1
0.3146647,0.17098786,1
0.31084338,0.22207959,1
0.31111112,0.18712273,1
0.35412335,0.23553589,1
0.35116115,0.22722915,1
0.39595264,0.24906047,1
0.4475043,0.20963682,0
0.40757576,0.27741492,0
0.3391621,0.2724126,1
0.4202429,0.23826332,0
0.3737705,0.21669692,1
0.37699682,0.24791893,1
0.39481267,0.23966338,1
0.35675254,0.25532684,1
0.3393529,0.2664532,1
0.40229884,0.23992741,0
0.35825545,0.24973127,1
0.27868852,0.13947827,1
0.27744806,0.16390672,1
0.24310777,0.18060102,1
0.1888668,0.13150425,1
0.19645494,0.09979633,1
0.16561845,0.11422846,1
0.17958914,0.122674234,1
0.21423948,0.14845423,1
0.23058543,0.20432623,1
0.22559294,0.24030143,1
0.24040632,0.16759628,1
0.24728589,0.13782668,1
0.21275483,0.11511656,1
0.19591458,0.16640253,1
0.21948718,0.18692288,1
0.266482,0.16781609,1
0.31017965,0.20252816,1
0.24705882,0.16248196,1
0.3069174,0.18514007,1
0.40426973,0.21524927,0
0.4182861,0.20291813,0
0.3272536,0.12384912,1
0.26967594,0.14599112,1
0.19660838,0.16003083,1
0.26603326,0.21136364,1
0.3213136,0.19302325,1
0.27419356,0.17539342,1
0.24890283,0.16050102,1
0.23548181,0.17475729,1
0.27640733,0.19478981,1
0.30723292,0.20489296,1
0.26923078,0.17407878,1
0.24008651,0.17406143,1
0.23379461,0.16666667,1
0.27455196,0.1981132,1
0.3239238,0.22374429,1
0.33480176,0.20238096,1
0.3080425,0.1767918,1
0.27421758,0.16763401,1
0.23169811,0.14486144,1
0.2563904,0.1536273,1
0.23019432,0.16078985,1
0.24530925,0.085731596,1
0.19217877,0.1715619,1
0.17315574,0.11192037,1
0.1648707,0.08343773,1
0.16597319,0.0007936508,1
0.12269032,0.09359251,1
0.11438596,0.14409222,1
0.16784452,0.053386454,1
0.1764706,0.08135942,1
0.17,0.08277635,1
0.18742724,0.084529504,1
0.18627451,0.11692308,1
0.19433428,0.13638814,1
0.1949306,0.10552764,1
0.1913096,0.108677335,1
0.19629416,0.1311251,1
0.19354838,0.12181917,1
0.21098773,0.12181917,1
0.200453,0.101298705,1
0.1853786,0.135,1
0.19569673,0.11541218,1
0.19547325,0.11329342,1
0.18441814,0.12505855,1
0.18867019,0.13996316,1
0.19859579,0.12444131,1
0.19543651,0.12854132,1
0.20977995,0.13694853,1
0.20765832,0.13416322,1
0.19640972,0.099199615,1
0.23076923,0.117605135,1
0.21149084,0.14727955,1
0.2173058,0.15323707,1
0.2226601,0.15388192,1
0.23729649,0.15896489,1
0.22892721,0.15118888,1
0.22460657,0.1515695,1
0.22670509,0.15591763,1
0.23240116,0.15629949,1
0.24871531,0.14352942,1
0.25169358,0.13784936,1
0.25907,0.15843911,1
0.21901709,0.12082515,1
